idapuesta;fecha_inicio;fecha_fin;idusuario;idsesionjuego;participación;apuesta;estado
BWIN001;02/22/2022 15:35;02/22/2022 15:55;DNI0111;LIGA01;1;18 €;6 €
BWIN002;02/22/2022 15:35;02/22/2022 15:55;DNI0112;LIGA01;1;13 €;-11 €
BWIN003;02/22/2022 15:35;02/22/2022 15:55;DNI0113;LIGA01;1;47 €;-6 €
BWIN004;02/22/2022 15:35;02/22/2022 15:55;DNI0114;LIGA01;1;8 €;9 €
BWIN005;02/22/2022 15:35;02/22/2022 15:55;DNI0115;LIGA02;1;31 €;-11 €
BWIN006;02/22/2022 15:35;02/22/2022 15:55;DNI0116;LIGA02;1;36 €;8 €
BWIN007;02/22/2022 15:35;02/22/2022 15:55;DNI0117;LIGA02;1;36 €;-2 €
BWIN008;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;1;56 €;-7 €
BWIN009;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;2;4 €;-7 €
BWIN010;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;3;46 €;10 €
BWIN011;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;4;43 €;2 €
BWIN012;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;5;60 €;2 €
BWIN013;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;6;23 €;9 €
BWIN014;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;7;37 €;-3 €
BWIN015;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;8;38 €;-10 €
BWIN016;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA03;9;9 €;-5 €
BWIN017;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA04;1;44 €;3 €
BWIN018;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA05;2;24 €;1 €
BWIN019;02/26/2022 10:00;02/26/2022 10:30;DNI0118;LIGA06;3;59 €;-2 €
BWIN020;02/27/2022 16:00;02/27/2022 18:00;DNI0130;LIGA15;1;49 €;-11 €
BWIN021;02/27/2022 16:00;02/27/2022 18:00;DNI0131;LIGA15;1;32 €;2 €
BWIN022;02/27/2022 16:00;02/27/2022 18:00;DNI0132;LIGA15;1;46 €;4 €
BWIN023;02/27/2022 16:00;02/27/2022 18:00;DNI0133;LIGA15;1;10 €;-8 €
BWIN024;02/27/2022 16:00;02/27/2022 18:00;DNI0134;LIGA15;1;16 €;-14 €
BWIN025;02/27/2022 16:00;02/27/2022 18:00;DNI0135;LIGA30;1;7 €;5 €
BWIN026;02/27/2022 16:00;02/27/2022 18:00;DNI0136;LIGA30;1;52 €;-4 €
BWIN027;02/27/2022 16:00;02/27/2022 18:00;DNI0137;LIGA30;1;21 €;0 €
BWIN028;02/27/2022 16:00;02/27/2022 18:00;DNI0138;LIGA30;1;34 €;-15 €
BWIN029;02/27/2022 16:00;02/27/2022 18:00;DNI0139;LIGA30;1;38 €;-10 €
BWIN030;02/27/2022 16:00;02/27/2022 18:00;DNI0140;LIGA30;1;47 €;7 €
BWIN031;02/27/2022 16:00;02/27/2022 18:00;DNI0141;LIGA35;1;43 €;8 €
BWIN032;02/27/2022 16:00;02/27/2022 18:00;DNI0142;LIGA35;1;32 €;-11 €
BWIN033;02/27/2022 16:00;02/27/2022 18:00;DNI0143;LIGA35;1;60 €;-8 €
BWIN034;02/27/2022 16:00;02/27/2022 18:00;DNI0144;LIGA35;1;41 €;-5 €
BWIN035;02/27/2022 16:00;02/27/2022 18:00;DNI0145;LIGA35;1;7 €;8 €
BWIN036;02/27/2022 16:00;02/27/2022 18:00;DNI0146;LIGA35;1;10 €;4 €
BWIN037;02/27/2022 16:00;02/27/2022 18:00;DNI0147;LIGA35;1;2 €;-12 €
BWIN038;02/27/2022 16:00;02/27/2022 18:00;DNI0148;LIGA35;1;42 €;10 €
BWIN039;02/27/2022 16:00;02/27/2022 18:00;DNI0149;LIGA35;1;57 €;-7 €
BWIN040;02/27/2022 16:00;02/27/2022 18:00;DNI0150;LIGA35;1;3 €;-14 €
BWIN041;02/27/2022 16:00;02/27/2022 18:00;DNI0151;LIGA35;1;29 €;4 €
BWIN042;02/27/2022 16:00;02/27/2022 18:00;DNI0152;LIGA37;1;28 €;9 €
BWIN043;02/27/2022 16:00;02/27/2022 18:00;DNI0153;LIGA37;1;16 €;4 €
BWIN044;02/27/2022 16:00;02/27/2022 18:00;DNI0154;LIGA37;1;27 €;9 €
BWIN045;02/27/2022 16:00;02/27/2022 18:00;DNI0155;LIGA37;1;43 €;0 €
BWIN046;02/27/2022 16:00;02/27/2022 18:00;DNI0156;LIGA37;1;51 €;-1 €
