idapuesta;fecha_inicio;fecha_fin;idusuario;idsesionjuego;participación;apuesta;estado
SPORT001;03/22/2022 15:35;03/22/2022 15:55;DNI0111;BLACK01;1;15 €;-4 €
SPORT002;03/22/2022 15:35;03/22/2022 15:55;DNI0112;BLACK01;1;34 €;2 €
SPORT003;03/22/2022 15:35;03/22/2022 15:55;DNI0113;BLACK01;1;7 €;1 €
SPORT004;03/22/2022 15:35;03/22/2022 15:55;DNI0114;BLACK01;1;22 €;0 €
SPORT005;03/22/2022 15:35;03/22/2022 15:55;DNI0115;BLACK02;1;12 €;-3 €
SPORT006;03/22/2022 15:35;03/22/2022 15:55;DNI0116;BLACK02;1;35 €;-3 €
SPORT007;03/22/2022 15:35;03/22/2022 15:55;DNI0117;BLACK02;1;37 €;0 €
SPORT008;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;1;46 €;-2 €
SPORT009;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;2;7 €;2 €
SPORT010;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;3;5 €;1 €
SPORT011;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;4;35 €;1 €
SPORT012;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;5;41 €;5 €
SPORT013;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;6;43 €;5 €
SPORT014;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;7;20 €;2 €
SPORT015;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;8;35 €;-3 €
SPORT016;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK03;9;30 €;-5 €
SPORT017;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK04;1;36 €;4 €
SPORT018;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK05;2;24 €;1 €
SPORT019;03/26/2022 10:00;03/26/2022 10:30;DNI0118;BLACK06;3;34 €;5 €
SPORT020;03/27/2022 16:00;03/27/2022 18:00;DNI0130;BLACK15;1;6 €;0 €
SPORT021;03/27/2022 16:00;03/27/2022 18:00;DNI0131;BLACK15;1;10 €;-1 €
SPORT022;03/27/2022 16:00;03/27/2022 18:00;DNI0132;BLACK15;1;42 €;-5 €
SPORT023;03/27/2022 16:00;03/27/2022 18:00;DNI0133;BLACK15;1;23 €;3 €
SPORT024;03/27/2022 16:00;03/27/2022 18:00;DNI0134;BLACK15;1;29 €;-5 €
SPORT025;03/27/2022 16:00;03/27/2022 18:00;DNI0135;BLACK30;1;20 €;-1 €
SPORT026;03/27/2022 16:00;03/27/2022 18:00;DNI0136;BLACK30;1;43 €;-4 €
SPORT027;03/27/2022 16:00;03/27/2022 18:00;DNI0137;BLACK30;1;31 €;-4 €
SPORT028;03/27/2022 16:00;03/27/2022 18:00;DNI0138;BLACK30;1;16 €;-4 €
SPORT029;03/27/2022 16:00;03/27/2022 18:00;DNI0139;BLACK30;1;27 €;3 €
SPORT030;03/27/2022 16:00;03/27/2022 18:00;DNI0140;BLACK30;1;20 €;4 €
SPORT031;03/27/2022 16:00;03/27/2022 18:00;DNI0141;BLACK35;1;33 €;-1 €
SPORT032;03/27/2022 16:00;03/27/2022 18:00;DNI0142;BLACK35;1;8 €;-5 €
SPORT033;03/27/2022 16:00;03/27/2022 18:00;DNI0143;BLACK35;1;46 €;-2 €
SPORT034;03/27/2022 16:00;03/27/2022 18:00;DNI0144;BLACK35;1;11 €;-3 €
SPORT035;03/27/2022 16:00;03/27/2022 18:00;DNI0145;BLACK35;1;9 €;-3 €
SPORT036;03/27/2022 16:00;03/27/2022 18:00;DNI0146;BLACK35;1;8 €;-3 €
SPORT037;03/27/2022 16:00;03/27/2022 18:00;DNI0147;BLACK35;1;39 €;2 €
SPORT038;03/27/2022 16:00;03/27/2022 18:00;DNI0148;BLACK35;1;16 €;-3 €
SPORT039;03/27/2022 16:00;03/27/2022 18:00;DNI0149;BLACK35;1;43 €;-2 €
SPORT040;03/27/2022 16:00;03/27/2022 18:00;DNI0150;BLACK35;1;48 €;-1 €
SPORT041;03/27/2022 16:00;03/27/2022 18:00;DNI0151;BLACK35;1;6 €;2 €
SPORT042;03/27/2022 16:00;03/27/2022 18:00;DNI0152;BLACK37;1;38 €;-1 €
SPORT043;03/27/2022 16:00;03/27/2022 18:00;DNI0153;BLACK37;1;42 €;-3 €
SPORT044;03/27/2022 16:00;03/27/2022 18:00;DNI0154;BLACK37;1;34 €;3 €
SPORT045;03/27/2022 16:00;03/27/2022 18:00;DNI0155;BLACK37;1;46 €;5 €
SPORT046;03/27/2022 16:00;03/27/2022 18:00;DNI0156;BLACK37;1;34 €;2 €
