idapuesta;fecha_inicio;fecha_fin;idusuario;idsesionjuego;participación;apuesta;estado
BETFAIR001;02/22/2022 15:35;02/22/2022 15:55;DNI0111;RULETA01;1;9 €;-9 €
BETFAIR002;02/22/2022 15:35;02/22/2022 15:55;DNI0112;RULETA01;1;6 €;0 €
BETFAIR003;02/22/2022 15:35;02/22/2022 15:55;DNI0113;RULETA01;1;0 €;18 €
BETFAIR004;02/22/2022 15:35;02/22/2022 15:55;DNI0114;RULETA01;1;9 €;3 €
BETFAIR005;02/22/2022 15:35;02/22/2022 15:55;DNI0115;RULETA02;1;4 €;-3 €
BETFAIR006;02/22/2022 15:35;02/22/2022 15:55;DNI0116;RULETA02;1;3 €;5 €
BETFAIR007;02/22/2022 15:35;02/22/2022 15:55;DNI0117;RULETA02;1;0 €;-9 €
BETFAIR008;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;1;9 €;17 €
BETFAIR009;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;2;2 €;2 €
BETFAIR010;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;3;7 €;-6 €
BETFAIR011;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;4;6 €;16 €
BETFAIR012;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;5;10 €;25 €
BETFAIR013;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;6;10 €;3 €
BETFAIR014;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;7;1 €;6 €
BETFAIR015;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;8;1 €;10 €
BETFAIR016;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA03;9;7 €;12 €
BETFAIR017;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA04;1;5 €;7 €
BETFAIR018;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA05;2;8 €;20 €
BETFAIR019;02/26/2022 10:00;02/26/2022 10:30;DNI0118;RULETA06;3;5 €;3 €
BETFAIR020;02/27/2022 16:00;02/27/2022 18:00;DNI0130;RULETA15;1;1 €;5 €
BETFAIR021;02/27/2022 16:00;02/27/2022 18:00;DNI0131;RULETA15;1;2 €;-6 €
BETFAIR022;02/27/2022 16:00;02/27/2022 18:00;DNI0132;RULETA15;1;8 €;12 €
BETFAIR023;02/27/2022 16:00;02/27/2022 18:00;DNI0133;RULETA15;1;7 €;18 €
BETFAIR024;02/27/2022 16:00;02/27/2022 18:00;DNI0134;RULETA15;1;0 €;-1 €
BETFAIR025;02/27/2022 16:00;02/27/2022 18:00;DNI0135;RULETA30;1;4 €;2 €
BETFAIR026;02/27/2022 16:00;02/27/2022 18:00;DNI0136;RULETA30;1;4 €;-3 €
BETFAIR027;02/27/2022 16:00;02/27/2022 18:00;DNI0137;RULETA30;1;9 €;-7 €
BETFAIR028;02/27/2022 16:00;02/27/2022 18:00;DNI0138;RULETA30;1;5 €;22 €
BETFAIR029;02/27/2022 16:00;02/27/2022 18:00;DNI0139;RULETA30;1;2 €;13 €
BETFAIR030;02/27/2022 16:00;02/27/2022 18:00;DNI0140;RULETA30;1;10 €;23 €
BETFAIR031;02/27/2022 16:00;02/27/2022 18:00;DNI0141;RULETA35;1;7 €;22 €
BETFAIR032;02/27/2022 16:00;02/27/2022 18:00;DNI0142;RULETA35;1;6 €;21 €
BETFAIR033;02/27/2022 16:00;02/27/2022 18:00;DNI0143;RULETA35;1;5 €;7 €
BETFAIR034;02/27/2022 16:00;02/27/2022 18:00;DNI0144;RULETA35;1;3 €;18 €
BETFAIR035;02/27/2022 16:00;02/27/2022 18:00;DNI0145;RULETA35;1;6 €;-5 €
BETFAIR036;02/27/2022 16:00;02/27/2022 18:00;DNI0146;RULETA35;1;0 €;12 €
BETFAIR037;02/27/2022 16:00;02/27/2022 18:00;DNI0147;RULETA35;1;6 €;-4 €
BETFAIR038;02/27/2022 16:00;02/27/2022 18:00;DNI0148;RULETA35;1;0 €;15 €
BETFAIR039;02/27/2022 16:00;02/27/2022 18:00;DNI0149;RULETA35;1;7 €;25 €
BETFAIR040;02/27/2022 16:00;02/27/2022 18:00;DNI0150;RULETA35;1;3 €;20 €
BETFAIR041;02/27/2022 16:00;02/27/2022 18:00;DNI0151;RULETA35;1;2 €;14 €
BETFAIR042;02/27/2022 16:00;02/27/2022 18:00;DNI0152;RULETA37;1;9 €;17 €
BETFAIR043;02/27/2022 16:00;02/27/2022 18:00;DNI0153;RULETA37;1;3 €;13 €
BETFAIR044;02/27/2022 16:00;02/27/2022 18:00;DNI0154;RULETA37;1;0 €;1 €
BETFAIR045;02/27/2022 16:00;02/27/2022 18:00;DNI0155;RULETA37;1;2 €;1 €
BETFAIR046;02/27/2022 16:00;02/27/2022 18:00;DNI0156;RULETA37;1;4 €;15 €
